week_start,actor_id,actor_name,event_count,state_based_event_count,non_state_event_count,one_sided_event_count,combat_event_count,combatant_fatalities,actor_deaths_suffered,civilian_fatalities,one_sided_civilian_fatalities,best_fatalities,low_fatalities,high_fatalities,active_location_count,one_sided_event_share
2023-09-25,ucdp:1005,Ngok Dinka,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,1.0,0.0
2023-10-02,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-09,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-16,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-23,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-30,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-06,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-13,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-20,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-27,ucdp:1005,Ngok Dinka,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,0.0
